class,precision,recall,f1_score,support
defective,1.0,0.125,0.2222222222222222,8.0
good,0.8157894736842105,1.0,0.8985507246376812,31.0
macro avg,0.9078947368421053,0.5625,0.5603864734299517,39.0
weighted avg,0.8535762483130904,0.8205128205128205,0.7598166728601512,39.0
