epoch,accuracy,loss,val_accuracy,val_loss
1,0.2678571343421936,0.9536441564559937,0.23076923191547394,0.8101377487182617
2,0.4404761791229248,0.8240879774093628,0.4871794879436493,0.6858901977539062
3,0.511904776096344,0.7359446287155151,0.8461538553237915,0.5919235348701477
4,0.7023809552192688,0.6109615564346313,0.7948718070983887,0.5268372297286987
5,0.7857142686843872,0.5149983167648315,0.7948718070983887,0.48508208990097046
6,0.7857142686843872,0.5139465928077698,0.7948718070983887,0.46067163348197937
7,0.8035714030265808,0.46637681126594543,0.7948718070983887,0.44711899757385254
8,0.8452380895614624,0.4304176867008209,0.7948718070983887,0.4409010410308838
9,0.863095223903656,0.41707828640937805,0.7948718070983887,0.4381842017173767
10,0.863095223903656,0.38740429282188416,0.7948718070983887,0.4372209310531616
11,0.8571428656578064,0.41512933373451233,0.7948718070983887,0.43723440170288086
12,0.8690476417541504,0.3820323348045349,0.7948718070983887,0.4375421702861786
13,0.8690476417541504,0.37878337502479553,0.7948718070983887,0.43752822279930115
