class,precision,recall,f1_score,support
defective,0.0,0.0,0.0,8.0
good,0.7948717948717948,1.0,0.8857142857142857,31.0
macro avg,0.3974358974358974,0.5,0.44285714285714284,39.0
weighted avg,0.6318211702827087,0.7948717948717948,0.704029304029304,39.0
