framework,average_type,precision,recall,f1_score,support
TensorFlow,macro avg,0.9078947368421052,0.5625,0.5603864734299517,39.0
TensorFlow,weighted avg,0.8535762483130904,0.8205128205128205,0.7598166728601512,39.0
PyTorch,macro avg,0.3974358974358974,0.5,0.4428571428571428,39.0
PyTorch,weighted avg,0.6318211702827087,0.7948717948717948,0.704029304029304,39.0
